timestamp,close,volume,volatility,avg_volume,trend,volatility_category,avg_volume_category
2024-06-15,2.104,12890090.61,4.619968105300363,17621440.87857143,Upward,Medium,Medium
2024-06-16,2.095,10374378.85,4.39664686662864,17433484.914285716,Downward,Medium,Medium
2024-06-17,1.936,22664167.18,5.1002244532293295,19148797.01142857,Downward,Medium,Medium
2024-06-18,1.829,36466167.57,5.043282686044157,20483121.89,Downward,Medium,Medium
2024-06-19,1.912,20697537.24,5.084809853474703,19735848.10714286,Upward,Medium,Medium
2024-06-20,1.835,18749380.74,4.827016211672001,20454783.95,Downward,Medium,Medium
2024-06-21,1.813,12856835.2,4.817960482054281,19242651.055714283,Downward,Medium,Medium
2024-06-22,1.79,6158817.66,3.955229034290957,18281040.634285714,Downward,Low,Medium
2024-06-23,1.712,8889789.49,3.938226479603896,18068956.44,Downward,Low,Medium
2024-06-24,1.773,20451078.05,3.922138257228459,17752800.85,Upward,Low,Medium
2024-06-25,1.763,14045103.22,3.422725413352598,14549791.657142855,Downward,Low,Medium
2024-06-26,1.786,11537107.75,2.794118597836724,13241158.872857142,Upward,Low,Low
2024-06-27,1.8,16808884.04,2.481053644493972,12963945.058571428,Upward,Low,Low
2024-06-28,1.75,11721144.84,2.6480338890026687,12801703.578571428,Downward,Low,Low
2024-06-29,1.742,5727500.6,2.625100950262535,12740086.855714286,Downward,Low,Low
2024-06-30,1.803,8605543.7,2.288435846529897,12699480.314285712,Upward,Low,Low
2024-07-01,1.753,10952391.73,2.249973608327477,11342525.125714283,Downward,Low,Low
2024-07-02,1.771,8652482.67,2.2801782655846337,10572150.76142857,Upward,Low,Low
2024-07-03,1.637,14718460.63,3.5833951944364983,11026629.744285714,Downward,Low,Low
2024-07-04,1.443,26873182.87,5.232014027933932,12464386.72,Downward,Medium,Low
2024-07-05,1.33,63428583.87,5.538250667664737,19851163.724285714,Downward,High,Medium
2024-07-06,1.487,19958147.26,8.089126563921308,21884113.24714285,Upward,High,Medium
2024-07-07,1.382,14407020.22,7.884075959044649,22712895.60714286,Downward,High,High
2024-07-08,1.482,30886785.49,8.875621798458843,25560666.144285712,Upward,High,High
2024-07-09,1.619,19940301.83,9.839155100682778,27173211.73857143,Upward,High,High
2024-07-10,1.676,17188273.17,9.465057304596282,27526042.10142857,Upward,High,High
2024-07-11,1.659,11996779.13,7.806598563033473,25400841.56714285,Downward,High,High
2024-07-12,1.712,15663590.65,6.417296856193637,18577271.10714286,Upward,High,Medium
2024-07-13,1.689,9222136.65,5.567715099541788,17043555.305714287,Downward,High,Medium
2024-07-14,1.801,11358951.47,4.070833441786952,16608116.912857143,Upward,Low,Medium
2024-07-15,1.851,18820118.33,3.806546904003088,14884307.31857143,Upward,Low,Medium
2024-07-16,1.79,25233489.44,3.4717067790343843,15640476.977142856,Downward,Low,Medium
2024-07-17,1.81,14956586.77,3.3549367277513897,15321664.634285714,Upward,Low,Medium
2024-07-18,1.826,11849794.63,3.2248144203057336,15300666.84857143,Upward,Low,Medium
2024-07-19,1.956,15720984.68,3.862257939173223,15308865.995714286,Upward,Low,Medium
2024-07-20,1.926,7348364.3,3.890150802313826,15041184.23142857,Downward,Low,Medium
